epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,53.6636,0.69522,0.53385,0.91134,0.97112,0.99653,0.995,0.7158,1.10041,0.49024,1.05741,0.00101166,0.00101166,0.00101166
61,54.5206,0.67266,0.50518,0.90844,0.98492,1,0.995,0.7131,1.1014,0.47384,1.06659,0.00100459,0.00100459,0.00100459
62,55.3928,0.70823,0.53175,0.90071,0.98454,1,0.995,0.72173,1.0349,0.43414,1.03748,0.000997513,0.000997513,0.000997513
63,56.2637,0.69531,0.50657,0.91555,0.9865,1,0.995,0.72798,1.03694,0.42677,1.01328,0.00099044,0.00099044,0.00099044
64,57.1286,0.693,0.50622,0.88902,0.97685,1,0.995,0.70028,1.0921,0.45159,1.06005,0.000983366,0.000983366,0.000983366
65,57.9805,0.68307,0.48761,0.88369,0.97603,1,0.995,0.70923,1.04162,0.43922,1.0437,0.000976293,0.000976293,0.000976293
66,58.8253,0.67745,0.50579,0.88445,0.98248,1,0.995,0.70834,1.07436,0.44074,1.04449,0.000969219,0.000969219,0.000969219
67,59.7033,0.71739,0.51267,0.89744,0.97846,1,0.995,0.73294,1.04922,0.4433,1.04921,0.000962146,0.000962146,0.000962146
68,60.5752,0.68669,0.49845,0.89212,0.97947,1,0.995,0.72559,1.07862,0.45414,1.05016,0.000955072,0.000955072,0.000955072
69,61.4337,0.6765,0.47833,0.89629,0.98279,1,0.995,0.71566,1.11168,0.45883,1.05317,0.000947999,0.000947999,0.000947999
70,62.2913,0.67591,0.48581,0.8931,0.98962,1,0.995,0.72844,1.06888,0.4509,1.03438,0.000940925,0.000940925,0.000940925
71,63.1499,0.64866,0.47601,0.88238,0.9896,1,0.995,0.72072,1.05018,0.42916,1.02515,0.000933851,0.000933851,0.000933851
72,64.0105,0.67295,0.49017,0.88101,0.9885,1,0.995,0.73885,1.0114,0.4238,0.9923,0.000926778,0.000926778,0.000926778
73,64.928,0.72857,0.51504,0.90272,0.98824,1,0.995,0.75651,0.98766,0.41658,0.99092,0.000919704,0.000919704,0.000919704
74,65.8011,0.62656,0.47445,0.88231,0.98855,1,0.995,0.75895,0.99066,0.4243,0.98904,0.000912631,0.000912631,0.000912631
75,66.6835,0.65603,0.48906,0.88565,0.98405,1,0.995,0.75347,0.98404,0.40993,0.98795,0.000905557,0.000905557,0.000905557
76,67.5456,0.68311,0.49407,0.90639,0.98549,1,0.995,0.75629,0.97583,0.38894,0.99257,0.000898484,0.000898484,0.000898484
77,68.3944,0.65136,0.47016,0.88173,0.98401,1,0.995,0.73661,1.01079,0.40366,1.00334,0.00089141,0.00089141,0.00089141
78,69.2615,0.65866,0.46815,0.878,0.97781,1,0.995,0.69788,1.04325,0.41721,1.02715,0.000884337,0.000884337,0.000884337
79,70.1392,0.63579,0.48218,0.89149,0.98017,1,0.995,0.73079,1.0173,0.40714,0.99404,0.000877263,0.000877263,0.000877263
80,70.9992,0.63077,0.45606,0.87532,0.98465,1,0.995,0.7156,1.08248,0.42363,1.02475,0.00087019,0.00087019,0.00087019
81,71.8458,0.63264,0.46964,0.87531,0.98991,1,0.995,0.71825,1.1088,0.4245,1.03784,0.000863116,0.000863116,0.000863116
82,72.6988,0.64763,0.45966,0.87169,0.98579,1,0.995,0.7082,1.1162,0.41678,1.03648,0.000856042,0.000856042,0.000856042
83,73.5873,0.61279,0.44978,0.86601,0.98705,1,0.995,0.73215,1.07774,0.4326,1.03609,0.000848969,0.000848969,0.000848969
84,74.4561,0.54354,0.42484,0.85517,0.98917,1,0.995,0.7112,1.07482,0.4306,1.03554,0.000841895,0.000841895,0.000841895
